Category,Model,Distance_KM,Target_Fare,CO2_Emission,Category_Enc
Personal,Tata Nexon.ev,19.352465823520763,29.99632202645718,53,0
Personal,Tata Tiago.ev,19.352465823520763,24.57763159587137,48,0
Personal,MG ZS EV,19.352465823520763,35.802061773513415,55,0
Public_Taxi,BluSmart,19.352465823520763,457.0206177351341,50,1
Public_Taxi,Uber Green,19.352465823520763,589.4591797644983,55,1
Personal,Tata Nexon.ev,47.58500101408589,73.75675157183312,53,0
Personal,Tata Tiago.ev,47.58500101408589,60.43295128788908,48,0
Personal,MG ZS EV,47.58500101408589,88.0322518760589,55,0
Public_Taxi,BluSmart,47.58500101408589,979.322518760589,50,1
Public_Taxi,Uber Green,47.58500101408589,1267.0400243380614,55,1
Personal,Tata Nexon.ev,36.86770314875885,57.14493988057621,53,0
Personal,Tata Tiago.ev,36.86770314875885,46.82198299892374,48,0
Personal,MG ZS EV,36.86770314875885,68.20525082520388,55,0
Public_Taxi,BluSmart,36.86770314875885,781.0525082520387,50,1
Public_Taxi,Uber Green,36.86770314875885,1009.8248755702124,55,1
Personal,Tata Nexon.ev,30.334265725654795,47.01811187476493,53,0
Personal,Tata Tiago.ev,30.334265725654795,38.52451747158159,48,0
Personal,MG ZS EV,30.334265725654795,56.11839159246137,55,0
Public_Taxi,BluSmart,30.334265725654795,660.1839159246138,50,1
Public_Taxi,Uber Green,30.334265725654795,853.022377415715,55,1
Personal,Tata Nexon.ev,8.64491338167939,13.399615741603052,53,0
Personal,Tata Tiago.ev,8.64491338167939,10.979039994732824,48,0
Personal,MG ZS EV,8.64491338167939,15.99308975610687,55,0
Public_Taxi,BluSmart,8.64491338167939,258.9308975610687,50,1
Public_Taxi,Uber Green,8.64491338167939,332.47792116030536,55,1
Personal,Tata Nexon.ev,8.64373149647393,13.397783819534588,53,0
Personal,Tata Tiago.ev,8.64373149647393,10.97753900052189,48,0
Personal,MG ZS EV,8.64373149647393,15.990903268476771,55,0
Public_Taxi,BluSmart,8.64373149647393,258.9090326847677,50,1
Public_Taxi,Uber Green,8.64373149647393,332.4495559153743,55,1
Personal,Tata Nexon.ev,3.8460969962417737,5.961450344174748,53,0
Personal,Tata Tiago.ev,3.8460969962417737,4.884543185227053,48,0
Personal,MG ZS EV,3.8460969962417737,7.115279443047282,55,0
Public_Taxi,BluSmart,3.8460969962417737,170.1527944304728,50,1
Public_Taxi,Uber Green,3.8460969962417737,217.30632790980258,55,1
Personal,Tata Nexon.ev,43.44263114297183,67.33607827160633,53,0
Personal,Tata Tiago.ev,43.44263114297183,55.17214155157422,48,0
Personal,MG ZS EV,43.44263114297183,80.36886761449789,55,0
Public_Taxi,BluSmart,43.44263114297183,902.6886761449788,50,1
Public_Taxi,Uber Green,43.44263114297183,1167.6231474313238,55,1
Personal,Tata Nexon.ev,30.45463557541723,47.204685141896704,53,0
Personal,Tata Tiago.ev,30.45463557541723,38.67738718077989,48,0
Personal,MG ZS EV,30.45463557541723,56.34107581452188,55,0
Public_Taxi,BluSmart,30.45463557541723,662.4107581452188,50,1
Public_Taxi,Uber Green,30.45463557541723,855.9112538100136,55,1
Personal,Tata Nexon.ev,35.69555631200623,55.328112283609656,53,0
Personal,Tata Tiago.ev,35.69555631200623,45.33335651624792,48,0
Personal,MG ZS EV,35.69555631200623,66.03677917721153,55,0
Public_Taxi,BluSmart,35.69555631200623,759.3677917721153,50,1
Public_Taxi,Uber Green,35.69555631200623,981.6933514881496,55,1
Personal,Tata Nexon.ev,2.00864022049432,3.1133923417661955,53,0
Personal,Tata Tiago.ev,2.00864022049432,2.550973080027786,48,0
Personal,MG ZS EV,2.00864022049432,3.715984407914492,55,0
Public_Taxi,BluSmart,2.00864022049432,136.15984407914493,50,1
Public_Taxi,Uber Green,2.00864022049432,173.20736529186368,55,1
Personal,Tata Nexon.ev,48.52558275593772,75.21465327170345,53,0
Personal,Tata Tiago.ev,48.52558275593772,61.6274901000409,48,0
Personal,MG ZS EV,48.52558275593772,89.77232809848479,55,0
Public_Taxi,BluSmart,48.52558275593772,996.7232809848479,50,1
Public_Taxi,Uber Green,48.52558275593772,1289.6139861425054,55,1
Personal,Tata Nexon.ev,41.78968939922066,64.77401856879202,53,0
Personal,Tata Tiago.ev,41.78968939922066,53.07290553701024,48,0
Personal,MG ZS EV,41.78968939922066,77.31092538855823,55,0
Public_Taxi,BluSmart,41.78968939922066,872.1092538855822,50,1
Public_Taxi,Uber Green,41.78968939922066,1127.952545581296,55,1
Personal,Tata Nexon.ev,11.404616423235531,17.677155456015072,53,0
Personal,Tata Tiago.ev,11.404616423235531,14.483862857509125,48,0
Personal,MG ZS EV,11.404616423235531,21.098540382985732,55,0
Public_Taxi,BluSmart,11.404616423235531,309.9854038298573,50,1
Public_Taxi,Uber Green,11.404616423235531,398.71079415765274,55,1
Personal,Tata Nexon.ev,9.90942339314793,15.35960625937929,53,0
Personal,Tata Tiago.ev,9.90942339314793,12.584967709297873,48,0
Personal,MG ZS EV,9.90942339314793,18.332433277323673,55,0
Public_Taxi,BluSmart,9.90942339314793,282.32433277323673,50,1
Public_Taxi,Uber Green,9.90942339314793,362.8261614355503,55,1
Personal,Tata Nexon.ev,9.986820982818257,15.479572523368295,53,0
Personal,Tata Tiago.ev,9.986820982818257,12.683262648179186,48,0
Personal,MG ZS EV,9.986820982818257,18.475618818213775,55,0
Public_Taxi,BluSmart,9.986820982818257,283.75618818213775,50,1
Public_Taxi,Uber Green,9.986820982818257,364.68370358763815,55,1
Personal,Tata Nexon.ev,15.907869905017348,24.657198352776888,53,0
Personal,Tata Tiago.ev,15.907869905017348,20.202994779372034,48,0
Personal,MG ZS EV,15.907869905017348,29.429559324282096,55,0
Public_Taxi,BluSmart,15.907869905017348,393.2955932428209,50,1
Public_Taxi,Uber Green,15.907869905017348,506.78887772041634,55,1
Personal,Tata Nexon.ev,26.713065149979656,41.40525098246846,53,0
Personal,Tata Tiago.ev,26.713065149979656,33.925592740474166,48,0
Personal,MG ZS EV,26.713065149979656,49.41917052746236,55,0
Public_Taxi,BluSmart,26.713065149979656,593.1917052746237,50,1
Public_Taxi,Uber Green,26.713065149979656,766.1135635995117,55,1
Personal,Tata Nexon.ev,22.165305913463673,34.35622416586869,53,0
Personal,Tata Tiago.ev,22.165305913463673,28.149938510098863,48,0
Personal,MG ZS EV,22.165305913463673,41.0058159399078,55,0
Public_Taxi,BluSmart,22.165305913463673,509.05815939907797,50,1
Public_Taxi,Uber Green,22.165305913463673,656.9673419231282,55,1
Personal,Tata Nexon.ev,15.270227869704053,23.66885319804128,53,0
Personal,Tata Tiago.ev,15.270227869704053,19.393189394524146,48,0
Personal,MG ZS EV,15.270227869704053,28.2499215589525,55,0
Public_Taxi,BluSmart,15.270227869704053,381.49921558952497,50,1
Public_Taxi,Uber Green,15.270227869704053,491.4854688728973,55,1
Personal,Tata Nexon.ev,30.980791841396595,48.02022735416472,53,0
Personal,Tata Tiago.ev,30.980791841396595,39.34560563857367,48,0
Personal,MG ZS EV,30.980791841396595,57.3144649065837,55,0
Public_Taxi,BluSmart,30.980791841396595,672.144649065837,50,1
Public_Taxi,Uber Green,30.980791841396595,868.5390041935183,55,1
Personal,Tata Nexon.ev,7.83519917195005,12.144558716522576,53,0
Personal,Tata Tiago.ev,7.83519917195005,9.950702948376563,48,0
Personal,MG ZS EV,7.83519917195005,14.495118468107593,55,0
Public_Taxi,BluSmart,7.83519917195005,243.95118468107592,50,1
Public_Taxi,Uber Green,7.83519917195005,313.0447801268012,55,1
Personal,Tata Nexon.ev,15.31508777822569,23.738386056249816,53,0
Personal,Tata Tiago.ev,15.31508777822569,19.450161478346626,48,0
Personal,MG ZS EV,15.31508777822569,28.332912389717528,55,0
Public_Taxi,BluSmart,15.31508777822569,382.3291238971753,50,1
Public_Taxi,Uber Green,15.31508777822569,492.5621066774166,55,1
Personal,Tata Nexon.ev,18.951730321390894,29.37518199815588,53,0
Personal,Tata Tiago.ev,18.951730321390894,24.068697508166437,48,0
Personal,MG ZS EV,18.951730321390894,35.060701094573155,55,0
Public_Taxi,BluSmart,18.951730321390894,449.60701094573153,50,1
Public_Taxi,Uber Green,18.951730321390894,579.8415277133814,55,1
Personal,Tata Nexon.ev,23.34742922663476,36.18851530128387,53,0
Personal,Tata Tiago.ev,23.34742922663476,29.651235117826143,48,0
Personal,MG ZS EV,23.34742922663476,43.192744069274305,55,0
Public_Taxi,BluSmart,23.34742922663476,530.9274406927431,50,1
Public_Taxi,Uber Green,23.34742922663476,685.3383014392342,55,1
Personal,Tata Nexon.ev,39.473622108257665,61.18411426779937,53,0
Personal,Tata Tiago.ev,39.473622108257665,50.13150007748723,48,0
Personal,MG ZS EV,39.473622108257665,73.02620090027668,55,0
Public_Taxi,BluSmart,39.473622108257665,829.2620090027668,50,1
Public_Taxi,Uber Green,39.473622108257665,1072.366930598184,55,1
Personal,Tata Nexon.ev,10.784015325759627,16.715223754927422,53,0
Personal,Tata Tiago.ev,10.784015325759627,13.695699463714726,48,0
Personal,MG ZS EV,10.784015325759627,19.95042835265531,55,0
Public_Taxi,BluSmart,10.784015325759627,298.5042835265531,50,1
Public_Taxi,Uber Green,10.784015325759627,383.8163678182311,55,1
Personal,Tata Nexon.ev,26.19748748226697,40.606105597513796,53,0
Personal,Tata Tiago.ev,26.19748748226697,33.27080910247905,48,0
Personal,MG ZS EV,26.19748748226697,48.4653518421939,55,0
Public_Taxi,BluSmart,26.19748748226697,583.653518421939,50,1
Public_Taxi,Uber Green,26.19748748226697,753.7396995744073,55,1
Personal,Tata Nexon.ev,30.02831387424008,46.543886505072116,53,0
Personal,Tata Tiago.ev,30.02831387424008,38.1359586202849,48,0
Personal,MG ZS EV,30.02831387424008,55.55238066734415,55,0
Public_Taxi,BluSmart,30.02831387424008,654.5238066734415,50,1
Public_Taxi,Uber Green,30.02831387424008,845.6795329817619,55,1
Personal,Tata Nexon.ev,3.2760702232798886,5.077908846083827,53,0
Personal,Tata Tiago.ev,3.2760702232798886,4.160609183565459,48,0
Personal,MG ZS EV,3.2760702232798886,6.060729913067794,55,0
Public_Taxi,BluSmart,3.2760702232798886,159.60729913067794,50,1
Public_Taxi,Uber Green,3.2760702232798886,203.62568535871733,55,1
Personal,Tata Nexon.ev,30.76969774317048,47.693031501914234,53,0
Personal,Tata Tiago.ev,30.76969774317048,39.07751613382651,48,0
Personal,MG ZS EV,30.76969774317048,56.92394082486539,55,0
Public_Taxi,BluSmart,30.76969774317048,668.2394082486538,50,1
Public_Taxi,Uber Green,30.76969774317048,863.4727458360915,55,1
Personal,Tata Nexon.ev,9.355682060677285,14.50130719404979,53,0
Personal,Tata Tiago.ev,9.355682060677285,11.881716217060152,48,0
Personal,MG ZS EV,9.355682060677285,17.30801181225298,55,0
Public_Taxi,BluSmart,9.355682060677285,272.08011812252977,50,1
Public_Taxi,Uber Green,9.355682060677285,349.5363694562549,55,1
Personal,Tata Nexon.ev,4.187528056278696,6.490668487231978,53,0
Personal,Tata Tiago.ev,4.187528056278696,5.318160631473944,48,0
Personal,MG ZS EV,4.187528056278696,7.746926904115588,55,0
Public_Taxi,BluSmart,4.187528056278696,176.46926904115588,50,1
Public_Taxi,Uber Green,4.187528056278696,225.50067335068871,55,1
Personal,Tata Nexon.ev,47.49539132541333,73.61785655439066,53,0
Personal,Tata Tiago.ev,47.49539132541333,60.319146983274926,48,0
