id,source,destination,mode,distance_km,travel_time_min,co2_kg,cost_rs,aqi
baa6e65c-b468-4825-ac38-f164793a31b8,Mumbai Suburban,Mumbai Suburban,auto,29.85,57.72,3.0449,300.95,137
dcda0e8a-9a99-47a5-85c9-d70e615262bf,Navi Mumbai,Mumbai,bus,18.33,34.65,1.1632,35.57,108
5279664b-2a05-4132-9486-2850cb0863a8,Navi Mumbai,Mumbai,ev,35.83,56.24,1.2412,234.21,309
a0cb9567-d158-483f-ab10-4f9c15fbe24e,Mumbai,South Mumbai,bus,48.86,148.55,4.9949,81.03,239
dbffaa54-6de3-40dd-83ac-42f47b45af8c,Navi Mumbai,Mumbai,auto,30.9,62.43,2.9176,196.56,274
ac0b56b6-3afc-47e2-b101-3c340111850e,Mumbai Suburban,Mumbai,walking,7.52,84.62,0.0,0.0,174
111b55d9-aa60-4995-b2f6-8e9dc2bcb697,South Mumbai,South Mumbai,walking,7.38,126.12,0.0,0.0,219
7dcd6041-25db-4b78-9322-8da5eece2940,South Mumbai,Navi Mumbai,bus,5.93,11.86,0.5126,13.95,186
f8472c37-df9c-4555-9098-005fc2afb839,Mumbai,Mumbai,bus,23.55,78.88,2.0898,53.07,106
91d2f49f-70a2-454f-b0e4-b1639fb211d8,Mumbai,Mumbai Suburban,auto,27.23,39.83,1.9416,176.92,105
5043c8f6-8056-42e4-babe-eca72ba7dba3,Mumbai Suburban,Navi Mumbai,auto,13.84,26.46,1.5123,103.17,241
b588a633-71a4-455c-92b4-5f44cc89382b,Mumbai,Navi Mumbai,bus,28.94,57.98,2.9783,54.56,95
1d95391f-3680-4609-99c8-0f6f8d0113da,Mumbai,Navi Mumbai,car,44.12,91.5,3.8323,456.09,162
588dfcb6-1f13-4421-8c08-f963bd27df52,Mumbai,Mumbai Suburban,bus,48.72,108.46,5.9487,84.72,163
d1bc4bdf-7591-48b6-bb45-02083c1833f3,Navi Mumbai,Mumbai,auto,8.08,13.41,0.8519,79.44,182
59575bdf-860f-4fbe-ac57-ab79ec7bf996,Mumbai,Navi Mumbai,auto,22.79,66.8,2.1349,204.62,259
bd8056d7-d841-4115-b12a-388d98352f48,Navi Mumbai,Mumbai,walking,3.85,43.01,0.0,0.0,88
e51f8d42-d1d7-4c37-849c-7795fb77080f,Mumbai,Mumbai Suburban,train,2.52,3.81,0.1737,9.2,176
f6c0ce99-a90f-4707-963c-950f502981c9,Mumbai,Mumbai,bus,46.08,139.71,3.6591,74.32,198
264d0bca-5187-473f-b3a8-5c55396fc2f0,Mumbai,Mumbai Suburban,auto,23.99,52.03,1.8118,238.64,138
2850309d-18bc-4612-836d-4078c62e94bf,Navi Mumbai,Mumbai,walking,29.05,390.65,0.0,0.0,97
