Vehicle Type,Fuel Type,Engine Size,Age of Vehicle,Mileage,Speed,Acceleration,Road Type,Traffic Conditions,Temperature,Humidity,Wind Speed,Air Pressure,CO2 Emissions,NOx Emissions,PM2.5 Emissions,VOC Emissions,SO2 Emissions,Emission Level
Motorcycle,Electric,2.747608618006285,22,291288,49.0832545097578,1.887738440432738,Highway,Moderate,13.880458408962614,52.883905149705704,18.938861084325662,955.41164196635,179.93008804993812,1.085519804234255,0.011547961505440928,0.09620679388045227,0.022935756895586506,Medium
Bus,Electric,5.743714393331564,3,188398,23.46031082358643,3.544147218551127,City,Heavy,19.1369465707393,5.697342689982731,14.716525907862017,1035.763061721762,250.50521934372324,1.2856284064433412,0.1871120961563853,0.07332130840107734,0.02802137996263844,Medium
Bus,Hybrid,4.606368497419306,17,281451,115.50835048531587,4.646885549371895,Highway,Free flow,8.123428467702528,3.953116010747937,18.644522273598795,976.2070644332191,404.9791033436986,0.25818856670688806,0.1323981490814994,0.014743543344806646,0.07533362165991808,High
Truck,Electric,3.91302411782459,4,151321,18.540217379436406,3.581003892767884,Rural,Heavy,35.994893461939824,0.5096780814540902,11.951859204515054,966.9194623476261,463.56860795950115,1.0409557654713608,0.1663252264243553,0.09349032683466411,0.02532393446070548,High
Truck,Hybrid,1.6112969303006701,15,91810,109.59656579505315,3.8793028768969835,Highway,Moderate,14.7934806541309,52.45088434188985,2.7611382258241846,953.2293507469886,79.51460364109796,1.583390451434787,0.07804307876138529,0.020395502767018233,0.024986365062316815,Low
Car,Petrol,1.6111715057482539,13,72131,51.41677177878984,3.7538962107939944,City,Moderate,11.186252005922778,46.3815603969166,13.508542128904466,1033.4073099043271,287.83343810555596,1.7339751240091186,0.05636087030632753,0.09316532991212628,0.06906242681927323,Medium
Car,Petrol,1.1020347832746373,26,169449,45.343918987406646,1.6048930299186241,City,Free flow,-7.591601582425847,94.0460193556391,4.029823213137034,956.0115290875724,337.86958100821704,1.4702223582798286,0.042899138165538316,0.050660285946093626,0.058193412920439426,High
Car,Hybrid,5.304115958029663,26,296695,27.75837610858186,3.7846521659112393,Highway,Moderate,19.95075410664419,34.2306315858101,6.919371833354717,1045.443041581739,57.864242522794505,0.8952892158927426,0.1109288363507685,0.05371091861326275,0.07811218542352984,Low
Car,Electric,3.925798061064686,18,90214,76.29076012410229,3.922603801099008,City,Moderate,20.143446803335927,65.82273955313505,10.192358676258042,1006.4842016085271,131.56170882590965,0.5892048771231729,0.06064845316949537,0.05860522799512076,0.03869696328092009,Low
Bus,Electric,4.481977404539436,13,38599,82.26336180130036,2.667001603252564,Highway,Heavy,19.16448150153515,0.7563414640607391,3.1473196412340143,1019.8683184927157,78.15271149776433,0.8393876311208937,0.17722149821750935,0.0184367762301241,0.06476097287589,Low
Motorcycle,Electric,0.9070393703381727,8,229417,56.108515470290094,2.683781193334082,Rural,Moderate,34.379845880411025,66.35384458002301,0.4156276569889661,1022.5310422056683,180.66615346826416,1.1670385549571334,0.015688351162859274,0.06983747905200774,0.09070231573560138,Medium
Truck,Petrol,5.843531231242371,5,109490,6.684827483210896,3.798604015312419,Rural,Heavy,28.1450416294645,91.34600240269117,6.541718797413965,979.2684488765526,142.43223356891502,0.11102118191804142,0.026065390751816353,0.06887461210036766,0.09131155099253443,Low
Truck,Petrol,5.128701732162193,16,22593,110.221218082626,4.085154311122038,City,Free flow,33.37028097962134,35.47679566650578,16.48631538176904,1030.6458347909677,269.06013626085223,1.8328141335493058,0.05100402868849724,0.06199848182944542,0.06878150389659439,Medium
Motorcycle,Hybrid,1.9041633755270362,18,225472,117.63949594516572,1.6859772101533521,Highway,Free flow,-7.028872154503465,31.405710178362554,0.3075992241654424,1044.624067602514,344.9036712532033,0.7530640164546731,0.025644668488304906,0.08990047098684276,0.012099825436601543,High
Truck,Diesel,1.7454898294769232,11,109865,51.725209825420194,4.007811087876453,Rural,Heavy,5.906321612742097,62.602986487254995,2.1886786638922695,986.9851109624959,428.9978962179783,1.6139335260833474,0.16732167444055435,0.05305887855967639,0.057560050160648794,High
Truck,Petrol,1.7537034512378558,3,173708,73.63929688911927,4.071045033377056,Highway,Heavy,5.935597184735235,32.85520654574863,16.137097134734365,1033.5349390644085,186.93907174092084,1.1155033685231472,0.0107683416849097,0.07394851386733879,0.016129232817222585,Medium
Motorcycle,Petrol,2.3820596633895965,15,187031,54.03583514924961,1.1706282045928966,Rural,Moderate,22.852252888430996,40.241837547651116,6.117034059000483,1027.2039815310814,72.68289149740006,1.358158678556216,0.13381453558618997,0.04053563842558695,0.09907849469738779,Low
Car,Electric,3.528733444487637,24,216989,38.625558106334466,3.58475372658358,Rural,Free flow,12.43075243522551,27.31165408632873,18.764270289619652,1008.9595872064054,51.73167604054644,1.5430455465426913,0.09654174468264827,0.09321711492500609,0.09973244527903247,Low
Car,Hybrid,3.046114096939002,10,229701,9.278255142936915,0.9326696091807918,Rural,Moderate,28.87363016260209,34.48892062789355,7.604882859845965,986.7615977982919,430.0482535373771,0.6470288096524818,0.15682048037949767,0.09389007888119755,0.02043963269658556,High
Truck,Petrol,2.314391529029818,21,132192,54.72812764767586,0.4652455649406462,Highway,Free flow,9.221528332784736,67.94106124311277,15.934078581688986,991.5185293862578,445.1609815589592,1.2515578485241907,0.08797653955885705,0.05338845007386761,0.05105468641942228,High
Motorcycle,Petrol,3.9816350525563733,3,43638,98.20614676313419,2.872715060251138,Highway,Moderate,1.080378865620439,92.23751864261848,5.1757968252430935,980.7608519208906,95.44669710500108,1.5281263533175682,0.13255988260992477,0.07623593708071337,0.08750526545073514,Low
Motorcycle,Diesel,1.5253680753906176,16,170134,2.043775330560429,4.543260993916995,Rural,Heavy,4.547553414713921,58.31154757159667,1.2366247683101395,992.6270480767201,54.579163732179836,1.5647602199707231,0.131458219149439,0.030989960468214055,0.02044682459879208,Low
Motorcycle,Petrol,2.3191521723831343,7,267337,69.85292198162668,0.17729511762881622,Highway,Free flow,-0.876513692459282,1.0033448928329691,17.63108971428502,1048.962691832148,410.1194711821998,0.890406196329576,0.07912973820477817,0.06791542693435124,0.05970465196989835,High
Truck,Petrol,2.705081585127197,13,15213,105.69265304720267,4.132508187974608,Rural,Free flow,-0.10536541185499892,26.38925617987634,18.545929512991513,986.3414769745839,338.32762400926833,1.4841787427101183,0.03169653228754157,0.017655970661078216,0.0279709836489955,High
Bus,Electric,3.1715639179285873,26,254286,26.10593160172296,2.532356053517533,Rural,Moderate,0.8419457715325738,95.22385286524495,14.161993159784366,1016.5509753550555,300.26501838827375,0.6736103742749359,0.09227431639996687,0.08763257551931017,0.053710646387279244,High
Car,Electric,4.8829149992436705,1,244987,21.990703762687463,4.30447724360615,City,Free flow,-9.195264424638774,91.03217638301031,15.401356471922906,981.9606433314478,289.94133866747796,0.3361056395768376,0.17626191536367122,0.07494185146320739,0.028207215413694676,Medium
Motorcycle,Diesel,1.8383036672234707,10,215031,92.67319508423317,4.217384675855234,Rural,Heavy,25.804401738127275,11.564723960055211,0.1425524018380142,996.6647735688944,398.19198549377336,0.31454948544870165,0.16131273322991474,0.09594132884102329,0.05772673876237527,High
Bus,Electric,3.4740190797507804,10,148259,30.610371734315194,4.376434024081443,Highway,Moderate,9.980117113556776,90.84170630673277,15.076470353196116,958.3773998413347,181.99147741094416,1.0608341385337485,0.08057278194916162,0.08003974161374174,0.04704155905399541,Medium
Truck,Petrol,3.880555758082621,23,141112,23.038112107277815,3.8443697740333667,City,Moderate,-8.866433405908555,96.45290230389203,9.443927737776539,1026.3234235895645,225.1015925213207,0.8281942297802599,0.1747790339492193,0.02647127839538497,0.045447756088432906,Medium
Truck,Petrol,1.0415421461439882,21,197374,45.358710068308206,4.214961772734974,Rural,Free flow,8.500377223292013,32.45718957603398,9.055809092285156,1016.1024447234537,85.03300715265526,0.5416524040368189,0.09335906628149994,0.05207335401389816,0.02443226767018846,Low
Motorcycle,Diesel,3.95923322988748,23,29949,47.100241472426156,0.8801260360060181,Rural,Heavy,35.2684063557706,70.10068094032675,10.801398409408423,984.7485008150011,304.7583600820546,0.8432391918216379,0.04728639676905151,0.05881769401925606,0.06938191184627204,High
Car,Diesel,1.686725443173916,5,243072,104.89212756198792,1.5192657443747082,City,Moderate,15.56221584837224,55.99824155136297,5.4242043241909865,1002.4844682163884,482.36518458545993,0.8825023176191716,0.17416001022296815,0.08456211125611904,0.016322568291592926,High
Motorcycle,Hybrid,1.1382682835234537,20,248066,74.21321663204122,1.2124308540364819,Highway,Free flow,39.33760056731753,33.70496585507789,13.925771096218043,1037.2221836029091,177.73259617159334,1.15178899926926,0.10379139103452044,0.05953567495241402,0.09404763470525188,Medium
Bus,Electric,5.734204793717333,20,214480,48.71537476075072,3.712141518640302,City,Moderate,16.997971593902808,15.333578091852008,5.911777440540156,954.443271566106,468.16238139585204,0.21005057367786573,0.09242812105881551,0.052902458649484056,0.015312667401049345,High
Bus,Petrol,5.8212865719877085,13,208366,64.12655571429202,0.7682155968356796,City,Heavy,38.1399499525532,36.69202241054469,11.172132759347605,1043.0216496747728,378.14333012301176,1.8252399230436624,0.05463394120822135,0.07417000427438852,0.04703690856151033,High
Truck,Electric,5.003666210205598,29,287556,114.4758279990329,0.9111389518889429,City,Free flow,0.09003644022063462,92.77965714385125,2.7385445762306992,997.0799602472379,155.24578530386228,0.8071822133471361,0.15527522575762542,0.06779531874800798,0.03581006226898339,Medium
Car,Hybrid,2.3839915997015275,9,145384,13.585761193187444,4.394823603609713,Rural,Heavy,4.496740635968381,81.12483755733463,13.501512702336019,1035.965540550653,348.2844603360272,1.2692203866144973,0.11454240209421437,0.07739004101789641,0.059652893097423054,High
Motorcycle,Electric,1.3078949928331962,25,142876,24.925862606962973,3.5294109645641907,City,Free flow,24.998505508988067,33.06745306429044,3.792255291099309,1036.1482924696038,214.80529151373284,0.6821607893100647,0.04939381055940995,0.05276139200602806,0.01224135312354235,Medium
Motorcycle,Hybrid,4.358011737863216,26,185058,115.50344479038664,4.376899889595434,Highway,Free flow,39.34108084997233,54.767535201082,3.408279714961717,955.8712276802239,105.03590937689836,1.5471842482532565,0.059269693905194105,0.07511534602035214,0.049510275188441956,Low
Bus,Diesel,3.0887929674459267,7,46545,114.8789818232645,0.6967762913034525,City,Free flow,31.2648705509688,40.59616787095814,0.48566324738733346,1028.159457189424,91.72476850168275,0.9715237335192273,0.08266821244618983,0.0973995090795162,0.07783357044077792,Low
Bus,Petrol,1.43459882119285,6,161071,21.259850551772715,1.9949020228065117,Rural,Heavy,17.685263833787555,46.62378479928111,2.435715515396293,1023.286738609318,57.752378786174255,0.7114107625392386,0.11152169378715505,0.02634506440204889,0.08264832641380017,Low
Bus,Petrol,3.374919932578605,7,3768,17.413058055035787,1.4157558503815881,Highway,Free flow,-5.742369282054235,76.12106860055017,4.651404901578655,954.319354700476,409.0138181981009,1.9312353465493015,0.162983687791465,0.014707636510584772,0.09408376702460589,High
Truck,Electric,0.9788203097991357,27,263648,50.53021612063438,0.04840542639824752,Highway,Heavy,8.218955499989697,54.30062009508604,4.446187213788521,1044.0537870356502,448.1823920131099,1.743893195464048,0.049376595552657006,0.06136556772700381,0.019753521411248226,High
Truck,Petrol,5.528466090809666,7,8002,5.966195098556293,1.422614802193534,Rural,Moderate,-5.6787149701704696,18.10444634117916,6.55342858556665,1013.4548236053474,267.1422421261918,0.4426245145960078,0.1503310055377623,0.024260521999215967,0.059865159026813705,Medium
Truck,Hybrid,2.145655904320088,22,75427,78.58842387421682,1.8979162598893973,City,Heavy,5.564068093325222,26.903562780453903,1.0883283615423966,966.7534008609979,283.9665905164883,1.4312161377220298,0.18408324208640864,0.024854935865902386,0.046124448546681976,Medium
Motorcycle,Hybrid,4.245115878640706,1,13898,9.299522599409062,0.46109818621355936,City,Heavy,2.9396050332662274,56.77938618776023,18.70396037039867,962.3097194370539,361.2138081284847,1.5332061088756062,0.08517930799042217,0.07049220341722147,0.06826393051077699,High
Car,Diesel,2.420897595664937,26,80800,6.963555251313687,2.832437789134099,City,Free flow,9.427764831835919,69.28195599291995,2.383517586953694,1006.1972992347422,365.4087676583555,0.16565805481246682,0.07950742142199664,0.04797676978522175,0.08487128226637204,High
Truck,Electric,3.504353710124616,15,214299,58.222432345061904,1.9158633123631659,City,Moderate,31.86382949949595,50.812042738257915,14.0392775792401,955.883426446981,195.85748901545873,1.9258310364329363,0.10076480087534993,0.012928120244759997,0.06395466940608277,Medium
Motorcycle,Hybrid,3.6428934525850547,8,126718,114.93439633321218,0.23230831138772723,Rural,Moderate,-2.4811664344809934,62.021053234119506,10.701463396990684,966.4409694739977,121.63183687800269,0.5426474824752888,0.1652494890838957,0.06054617436764635,0.030611671754553982,Low
Motorcycle,Diesel,1.7612431687327406,12,33743,51.21551232757915,3.5198943243398837,Highway,Free flow,5.303197442680377,78.93769515754798,11.055776098282895,1044.845220557531,243.68774503378987,1.8259106584982383,0.0275831604772682,0.03199490194329143,0.03891704168473272,Medium
Truck,Petrol,5.841840064375704,22,209610,42.77773903926613,3.6463991692055178,City,Moderate,3.055862216080378,54.53919162080618,2.1103365104153293,1024.474085872687,363.6560950183574,1.3427340100761933,0.083579835979883,0.04904051537281649,0.09033076221089088,High
Bus,Petrol,4.830690681477796,11,243589,119.75480586027432,4.172357214847175,City,Free flow,4.807082356845392,97.71914500522993,4.864298843229196,1011.3489112055682,411.89368858113625,1.0730078976734794,0.015570739659393672,0.013512490706661672,0.07043758369354708,High
Truck,Diesel,5.6853944961337834,26,174458,63.83627529350201,2.427702999334913,City,Moderate,8.03117374035461,23.556865180272347,15.597625889371178,970.8819624777742,90.12304832571799,1.5930919862088122,0.10839030738997152,0.01571631611930944,0.06364322308453518,Low
Car,Electric,5.453102222223774,21,130864,45.028968826829825,4.843293986672549,Rural,Heavy,2.2155874966819233,91.96882503900537,9.273729165425111,971.8515810913573,314.74150678116683,1.3825520623001057,0.1893835833004165,0.02723931566570719,0.022525263377220803,High
Truck,Petrol,3.909079889817643,24,152395,46.30329760099222,4.570320722662283,Rural,Moderate,37.129063611156155,24.765979479735776,9.141356345741148,994.582932458885,74.34376220607442,1.5064714110526203,0.0404478884393367,0.07464678407853564,0.04072045254457781,Low
Truck,Petrol,5.593746022120207,28,172391,23.395139524021257,2.756758125500658,Highway,Moderate,11.00508569563273,53.16445764337018,10.918235919122687,1025.4054266055339,421.1508900263123,1.730021102755666,0.058526200592079775,0.08109849892052738,0.03907568999559234,High
Truck,Electric,1.2601610106699814,16,16868,61.46676689370467,2.224759655347086,Rural,Moderate,-4.2943367401365915,45.590677080260974,8.676117770184643,950.3929604081503,350.0628654367532,0.9952455057729147,0.14279163761475414,0.040938490944939745,0.01233069749858039,High
Motorcycle,Diesel,1.8191108845795552,26,230804,52.6626033801607,0.015172139514614269,Rural,Free flow,13.382930501366044,37.288326911940494,16.122718621228724,954.4275266660976,363.48159273543365,0.9088856645711443,0.1411975775874445,0.021302414660127757,0.09364574205423874,High
Truck,Electric,1.035181902334798,1,264224,32.495435561689604,3.554972658696169,City,Free flow,-0.7784049069320638,96.27346686008242,14.974103957774245,1037.0111620758314,392.77329192272,1.8095778429390854,0.12337738198874042,0.09427650678715686,0.03984660571829959,High
Bus,Diesel,2.4917177199689746,12,144848,19.264810392211174,2.8247725202484553,Rural,Moderate,0.8065321250659991,27.230156086599024,6.340084337223586,1031.4065682042706,273.0390611307205,1.61592657635361,0.05592639456257396,0.08084691891417332,0.01924146342235218,Medium
